metric,x,actual_prompt_tokens,tp2_p0_tok_per_s,pp2_p10_tok_per_s,tp2_p0_ttft_s,pp2_p10_ttft_s,pp2_percent_of_tp2,pp2_percent_delta_vs_tp2
decode,1,,68.1643484095108,9.22230348219184,,,13.529511684,-86.470488316
decode,2,,117.941761754346,18.6308643649943,,,15.796664462,-84.203335538
decode,4,,218.28935237306,37.0130448487986,,,16.955955225,-83.044044775
decode,8,,360.974790705143,74.5241982554053,,,20.645263928,-79.354736072
decode,16,,539.652226487798,148.480036405948,,,27.514022757,-72.485977243
decode,32,,903.688382811767,290.058842306846,,,32.097219332,-67.902780668
decode,64,,1252.23578451664,586.690854910467,,,46.851468562,-53.148531438
decode,128,,2013.85097740568,1186.44690053342,,,58.914334469,-41.085665531
prefill,8192,8194,6223,13371,1.317,0.613,214.864213402,114.864213402
prefill,65536,65538,7461,16870,8.785,3.885,226.109100657,126.109100657
prefill,131072,131073,7179,18637,18.258,7.033,259.604401727,159.604401727
