config_id,label,rails,nccl_hcas,nccl_tuning,channels,qps_per_connection,message_bytes,message_label,elements,time_us,algbw_gbps,busbw_gbps,wrong_values,in_place,avg_busbw_gbps,out_of_bounds_ok,data_direct_detected,nccl_tests_version,source_file,source_artifact_sha256
dual_rail_tuned_8ch,"Dual rail · tuned (8 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,8,4,268435456,256 MiB,67108864,3063.47,87.62,87.62,0,true,88.7332,true,true,2.19.7,dual-tuned8.log,d88627845b5c2f566ae2487570f2d01a047315a1066aab85f705e172ff732008
dual_rail_tuned_8ch,"Dual rail · tuned (8 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,8,4,536870912,512 MiB,134217728,5881.12,91.29,91.29,0,false,88.7332,true,true,2.19.7,dual-tuned8.log,d88627845b5c2f566ae2487570f2d01a047315a1066aab85f705e172ff732008
dual_rail_tuned_8ch,"Dual rail · tuned (8 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,8,4,536870912,512 MiB,134217728,5927.11,90.58,90.58,0,true,88.7332,true,true,2.19.7,dual-tuned8.log,d88627845b5c2f566ae2487570f2d01a047315a1066aab85f705e172ff732008
dual_rail_tuned_8ch,"Dual rail · tuned (8 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,8,4,1073741824,1 GiB,268435456,11576.0,92.76,92.76,0,false,88.7332,true,true,2.19.7,dual-tuned8.log,d88627845b5c2f566ae2487570f2d01a047315a1066aab85f705e172ff732008
dual_rail_tuned_8ch,"Dual rail · tuned (8 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,8,4,1073741824,1 GiB,268435456,11687.4,91.87,91.87,0,true,88.7332,true,true,2.19.7,dual-tuned8.log,d88627845b5c2f566ae2487570f2d01a047315a1066aab85f705e172ff732008
dual_rail_tuned_8ch,"Dual rail · tuned (8 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,8,4,2147483648,2 GiB,536870912,22921.1,93.69,93.69,0,false,88.7332,true,true,2.19.7,dual-tuned8.log,d88627845b5c2f566ae2487570f2d01a047315a1066aab85f705e172ff732008
dual_rail_tuned_8ch,"Dual rail · tuned (8 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,8,4,2147483648,2 GiB,536870912,23166.4,92.70,92.70,0,true,88.7332,true,true,2.19.7,dual-tuned8.log,d88627845b5c2f566ae2487570f2d01a047315a1066aab85f705e172ff732008
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,67108864,64 MiB,16777216,861.21,77.92,77.92,0,false,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,67108864,64 MiB,16777216,848.78,79.07,79.07,0,true,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,134217728,128 MiB,33554432,1659.26,80.89,80.89,0,false,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,134217728,128 MiB,33554432,1637.88,81.95,81.95,0,true,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,268435456,256 MiB,67108864,3226.41,83.20,83.20,0,false,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,268435456,256 MiB,67108864,3189.11,84.17,84.17,0,true,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,536870912,512 MiB,134217728,6407.82,83.78,83.78,0,false,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,536870912,512 MiB,134217728,6366.79,84.32,84.32,0,true,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,1073741824,1 GiB,268435456,12785.1,83.98,83.98,0,false,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,1073741824,1 GiB,268435456,12712.2,84.47,84.47,0,true,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,2147483648,2 GiB,536870912,25497.5,84.22,84.22,0,false,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_tuned_16ch,"Dual rail · tuned (16 ch, 4 QP)",2,"mlx5_0,mlx5_1",tuned,16,4,2147483648,2 GiB,536870912,25311.7,84.84,84.84,0,true,82.7349,true,true,2.19.7,dual-tuned16.log,1c7004915cfd2243e2a54f61bacb2a0e661329afdbf1730f2cc61f4de3527e74
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,67108864,64 MiB,16777216,844.28,79.49,79.49,0,false,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,67108864,64 MiB,16777216,835.06,80.36,80.36,0,true,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,134217728,128 MiB,33554432,1644.62,81.61,81.61,0,false,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,134217728,128 MiB,33554432,1628.62,82.41,82.41,0,true,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,268435456,256 MiB,67108864,3071.47,87.40,87.40,0,false,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,268435456,256 MiB,67108864,3114.02,86.20,86.20,0,true,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,536870912,512 MiB,134217728,5995.81,89.54,89.54,0,false,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,536870912,512 MiB,134217728,6018.38,89.21,89.21,0,true,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,1073741824,1 GiB,268435456,11975.1,89.66,89.66,0,false,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,1073741824,1 GiB,268435456,11874.5,90.42,90.42,0,true,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,2147483648,2 GiB,536870912,23946.3,89.68,89.68,0,false,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
dual_rail_auto,Dual rail · NCCL auto,2,"mlx5_0,mlx5_1",auto,,,2147483648,2 GiB,536870912,23561.3,91.14,91.14,0,true,86.4275,true,true,2.19.7,dual-auto.log,49e41e0d98eb1fcc5bcf2feb26d09f80345d3b66c92e7bfd9c135c360a9a0fad
