lane,lane_label,series_order,run_id,profile,engine,mode,publication_status,rankable,model_id,model_revision,runtime,runtime_image_id,runtime_commit,topology,tensor_parallel_size,pipeline_parallel_size,expert_parallel_size,mtp_tokens,kv_cache_dtype,chunked_prefill_size,max_prefill_tokens,swa_bounded_replay,nccl_hcas,host_rdma,ladder_step,ladder_label,isl_tokens,actual_prompt_tokens_per_request,concurrency,requests,warmup_requests,flush_cache,wall_seconds,prompt_tokens_total,aggregate_prompt_tokens_per_second,per_request_prompt_tokens_per_second_mean,ttft_mean_seconds,ttft_p50_seconds,ttft_p99_seconds,server_prompt_tokens_delta,token_count_match,gpu_util_mean_pct,gpu_power_mean_w,gpu_power_max_w,num_errors,result_file,source_artifact_sha256,diagnostic_status
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,32768,32768,16,64,1,true,124.0842,2097152,16901,1541.4,27.5919,31.0209,31.349,2097152,true,98.8,628,644.41,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,131072,131072,1,4,1,true,32.5687,524288,16097.9,16098,8.1421,8.1417,8.1459,524288,true,98.7,639.7,657.83,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,131072,131072,4,16,1,true,130.1597,2097152,16112.1,4981.8,29.6563,32.5335,33.2936,2097152,true,98.6,640.4,656.77,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,131072,131072,16,64,1,true,520.7703,8388608,16108.1,1565.6,115.1429,130.1928,130.5296,8388608,true,98.8,640.7,660.94,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,16384,16384,1,4,1,true,3.8713,65536,16928.7,16929.2,0.9678,0.9685,0.9691,65536,true,98.2,621,630.88,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,16384,16384,4,16,1,true,15.3466,262144,17081.6,4691.3,3.6427,3.8331,4.591,262144,true,98.8,627.1,640.24,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,16384,16384,16,64,1,true,61.4079,1048576,17075.6,1464.7,13.7594,15.3536,15.677,1048576,true,98.9,626.9,636.66,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,65536,65536,1,4,1,true,15.7923,262144,16599.4,16599.6,3.9481,3.948,3.949,262144,true,97.9,632.1,645.27,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,65536,65536,4,16,1,true,63.0247,1048576,16637.5,5018.5,14.445,15.7491,16.5076,1048576,true,98.6,632.3,643.99,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
sglang_tp2_ep2_stock_rdma,SGLang TP2+EP2 · AR · stock RDMA,1,20260910-105805-baseline,sglang_tp2_ep2_stockrdma_chunk16k_replay_off,sglang,ar,diagnostic,false,deepseek-ai/DeepSeek-V4.1-Flash,dba1be0a40aa45a94ad051997016db3960a90277,sglang,sha256:3dbc313030a6ef2c5d7de8ecf48e9aece722694a82182cb618cc82b588816349,NOT_RECORDED,cross_node_tp2_ep2,2,1,2,0,fp8_e4m3,16384,32768,false,"mlx5_0,mlx5_1",false,1,Stock container RDMA path,65536,65536,16,64,1,true,252.3429,4194304,16621.4,1578.1,55.8963,63.0839,63.4224,4194304,true,98.8,634,656.76,0,20260910-105805-baseline.jsonl,5ff9972c1b14ee721c63890dcfe7ff1f370a877fdddfe2b1c23131b2e23403d8,SUPERSEDED_TUNING_STEP
