model,mode,concurrency,completed,completion_tokens_avg,hit_max_tokens,gen_tok_s_per_stream,ttft_seconds_avg,prefill_scout_tok_s,prefill_scout_ttft_seconds
Qwen3.8-27B,autoregressive,1,5,1024.0,5,94.64776885552709,0.23152881160203834,22194.223928293188,0.3609497689976706
Qwen3.8-27B,autoregressive,64,320,1024.0,320,61.76772502321495,2.1056389567592078,60672.79671358427,0.1320361089965445
Qwen3.8-27B,autoregressive,128,640,1019.4921875,618,50.19735405403471,9.542433724423153,22519.740797469534,0.3557323360000737
Qwen3.8-27B,DFlash1 (community),1,5,1024.0,5,128.21597121300212,0.2390619583980879,21597.409777405606,0.3709241100004874
Qwen3.8-27B,DFlash1 (community),64,320,1022.75,316,51.349504787760814,1.6771744316499053,56921.40317524882,0.14073792199633317
Qwen3.8-27B,DFlash1 (community),128,640,981.5046875,552,33.49457119122044,10.52046001805461,22057.618038848952,0.3631851810059743
Qwen3.8-27B,DFlash2,1,5,1024.0,5,305.7056096628571,0.2389525621998473,21465.302696855648,0.3732069429970579
Qwen3.8-27B,DFlash2,64,320,844.353125,62,77.05762298203489,1.5510995199312674,57599.9259114891,0.13908004000404617
Qwen3.8-27B,DFlash2,128,640,1018.325,595,65.14832898348092,8.966623250339262,21858.890886374847,0.36648702999809757
Qwen3.8-27B,DSpark,1,5,1024.0,5,202.11838091208242,0.2351929740005289,21390.843655427994,0.3745060330038541
Qwen3.8-27B,DSpark,64,320,1021.71875,316,62.4185893412371,1.7372478025499731,58526.8002921659,0.13687746399955358
Qwen3.8-27B,DSpark,128,640,985.2609375,479,41.13456166489712,12.231288251135902,22163.320153714987,0.3614530649938388
Qwen3.8-27B,MTP,1,5,1024.0,5,224.96744857899031,0.23677350399957503,19219.044963713983,0.4168261230006465
Qwen3.8-27B,MTP,64,320,1013.35625,304,94.91415677856727,1.3833324184845879,59007.609567375825,0.1357621509960154
Qwen3.8-27B,MTP,128,640,905.36875,14,63.95989708420727,7.916870946215932,22161.511992414275,0.361482556007104
