model,cache_dtype,word_perplexity,byte_perplexity,bits_per_byte,documents
Qwen3.8-27B,BF16 KV/Mamba,9.294200611359534,1.5172616881615728,0.6014699344007025,62
Qwen3.8-27B Huginn FP8,BF16 KV/Mamba,9.318664859324638,1.5180077405692654,0.6021791473096513,62
Qwen3.8-27B Huginn NVFP4A16,BF16 KV/Mamba,9.443404775325016,1.5217871886256154,0.6057666220603083,62
