topology,stations,checkpoint,speculative_mode,thinking_mode,concurrency,outputs,errors,empty_outputs,automatic_flags,manual_degenerate_outputs,manual_pass,max_repeated_8gram_fraction,max_identical_word_run,max_identical_character_run,length_cap_stops,total_completion_tokens,source
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,1,5,0,0,1,0,true,0.000000000,2,19,0,2331,evidence/nvfp4-natural-output-audit.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,64,64,0,0,9,0,true,0.008665511,2,21,0,33873,evidence/nvfp4-natural-output-audit.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,disabled,128,128,0,0,9,0,true,0.006934813,2,44,0,68205,evidence/nvfp4-natural-output-audit.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,1,5,0,0,2,0,true,0.012114537,3,18,0,7049,evidence/nvfp4-natural-output-audit.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,64,64,0,0,13,0,true,0.063071298,2,39,1,83257,evidence/nvfp4-natural-output-audit.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,adaptive,128,128,0,0,23,0,true,0.071989529,2,41,2,171094,evidence/nvfp4-natural-output-audit.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,enabled,1,5,0,0,1,0,true,0.016519824,2,18,0,6355,evidence/nvfp4-natural-output-audit.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,enabled,64,64,0,0,16,0,true,0.117052882,2,40,0,86591,evidence/nvfp4-natural-output-audit.json
1x-gb300,1,nvidia/MiniMax-M3-NVFP4@901464083161bf8612a29ff7ad29914cd4ab4a85,none,enabled,128,128,0,0,22,0,true,0.065868263,3,39,2,177032,evidence/nvfp4-natural-output-audit.json
