model,mode,concurrency,completed,completion_tokens_avg,hit_max_tokens,gen_tok_s_per_stream,ttft_seconds_avg,prefill_scout_tok_s,prefill_scout_ttft_seconds
DeepSeek-V4-Flash-0731,autoregressive,1,5,988.4,4,157.08111029020128,0.2187828891997924,19444.25392502314,0.4116383190048509
DeepSeek-V4-Flash-0731,autoregressive,64,320,902.125,177,40.006748065971635,0.6768966135280834,36369.27607208527,0.220075867997366
DeepSeek-V4-Flash-0731,autoregressive,128,640,923.2703125,399,31.47573088149595,8.74396866794043,31859.14734979392,0.2512308290024521
DeepSeek-V4-Flash-0731,DSpark,1,5,965.0,3,316.03303248078214,0.22381625319976592,18528.268691319594,0.43198855399532476
DeepSeek-V4-Flash-0731,DSpark,64,320,939.575,201,70.93714577382443,0.7221594275718417,34708.62832803855,0.23060548300418304
DeepSeek-V4-Flash-0731,DSpark,128,640,929.090625,397,42.451088989126085,6.697869710090435,32826.43423827011,0.24382788401271682
