index, uuid, name, memory.total [MiB], driver_version, pci.bus_id
0, GPU-REDACTED-DISPLAY, NVIDIA RTX PRO 2000 Blackwell, 16311 MiB, 595.84, 00000004:01:00.0
1, GPU-REDACTED-GB300, NVIDIA GB300, 256703 MiB, 595.84, 00000009:06:00.0
