index, name, uuid, memory.total [MiB], memory.used [MiB], driver_version, power.limit [W]
0, NVIDIA RTX PRO 2000 Blackwell, GPU-REDACTED-DISPLAY, 16311 MiB, 2 MiB, 595.84, 70.00 W
1, NVIDIA GB300, GPU-REDACTED-GB300, 256703 MiB, 247793 MiB, 595.84, 1300.00 W
