configuration,world_size,batch_per_rank,global_batch,optimizer_steps,steady_state_images_per_second,elapsed_seconds_including_model_load,outer_wall_seconds,regular_map_50_95,ema_map_50_95,peak_reserved_gib_per_rank
control,2,8,16,73144,79.445191,15659.984075344,15676.16,0.4238208532333374,0.4391898512840271,12.826172
optimized,2,64,128,9143,220.452176,6412.026251538999,6439.15,0.4121547043323517,0.42533278465270996,96.886719
