run_id,profile,publication_status,model_id,model_revision,topology,mtp_tokens,input_tokens,target_output_tokens,duration_seconds,concurrency,aggregate_output_tokens_per_second,effective_concurrency,max_running_requests,saturation_observed,mtp_accept_length,engine_steps_per_second,median_ttft_seconds,median_itl_ms,num_errors,source_artifact_sha256,result_file
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,8192,1024,60.000888,64,1021.5848805437679,63.7,64,false,2.9343799358636864,348.21151313627223,13.898940663999952,80.7808740379888,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-throughput.csv
glm53-flash-tp2-mtp5-full-20260826-method-v10,TP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2,5,8192,1024,60.00075,128,1569.297050453536,105.7,108,true,2.9451707744276243,532.8543468256208,17.77969017500004,103.11340772043,0,8c1f90d017892c950f553600a3d889141a361a385a5657bc838c5c4344753e25,data/diagnostic-throughput.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,8192,1024,60.000618,1,174.1315397784736,0.9,1,false,2.9054767862107314,59.94938252136002,0.5587548959993001,5.19352594819117,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-throughput.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,8192,1024,60.000249,2,267.4155568921056,2.0,2,false,2.9215507826720057,91.56628666657701,0.6630321549996552,6.78525806647116,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-throughput.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,8192,1024,60.000324,4,292.74841915853654,4.0,4,false,2.98234894772573,98.19946972286348,0.6712556665002012,12.9585805175952,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-throughput.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,8192,1024,60.000749,8,484.96061274168426,7.9,8,false,2.960435313262815,163.86462108998006,0.6838875394996649,15.5790140239494,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-throughput.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,8192,1024,60.000979,16,718.4382774821057,15.8,16,false,2.9162608225108224,246.39597963893223,1.254686010000114,22.4554153747143,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-throughput.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,8192,1024,60.000736,32,516.4103320332604,32.0,32,false,2.9472082183962716,175.23118383081166,7.046135947000039,71.6639674979252,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-throughput.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,8192,1024,60.009667,64,1038.2160594225593,63.8,64,false,2.9557421374697594,351.2934007782446,14.27847202599969,81.58592206474,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-throughput.csv
glm53-flash-tep2-mtp5-full-20260826-method-v2,TEP2/MTP5,measured,zai-org/GLM-5.3-Flash,3f1971b7b5f7a528c9c4ef6212c8785298a8c24a,cross_node_tp2_ep2,5,8192,1024,60.000762,128,1549.296990594886,104.1,106,true,2.9279662351570126,529.1432798803454,19.05322434899972,103.789580935252,0,8619a90dd4f441e1702ffaa9e2ff4c23bbc5b1f2d370ee7e5d6ed83d80c08ed4,data/diagnostic-throughput.csv
